,id,seq_len,gravy,tiny,small,aliphatic,aromatic,non_polar,polar,charged,basic,acidic,helix,turn,sheet
0,sp|D0NPN8|A3AEM_PHYIT,147,-0.4265306122448979,0.2925170068027211,0.5102040816326531,0.31972789115646255,0.11564625850340135,0.5102040816326531,0.489795918367347,0.25170068027210885,0.14285714285714285,0.10884353741496598,0.27210884353741494,0.18367346938775508,0.35374149659863946
1,sp|D0P3S7|ABLB1_PHYIT,152,-0.45789473684210524,0.30921052631578944,0.4605263157894737,0.26973684210526316,0.11842105263157894,0.4605263157894737,0.5394736842105263,0.2631578947368421,0.16447368421052633,0.09868421052631579,0.3157894736842105,0.25,0.256578947368421
2,sp|B1NNT7|AVR4_PHYIT,287,-0.5411149825783973,0.2578397212543554,0.47735191637630664,0.29965156794425085,0.10801393728222997,0.47735191637630664,0.5226480836236934,0.2857142857142857,0.17770034843205573,0.10801393728222997,0.2926829268292683,0.16376306620209058,0.3066202090592335
3,sp|D0MZL5|RD28_PHYIT,144,-0.0319444444444444,0.2638888888888889,0.5347222222222222,0.3125,0.10416666666666667,0.5347222222222222,0.4652777777777778,0.22222222222222224,0.14583333333333334,0.0763888888888889,0.3402777777777778,0.2638888888888889,0.2152777777777778
4,sp|D0N4K2|CRE5_PHYIT,254,-0.48976377952755923,0.2952755905511811,0.4881889763779528,0.29527559055118113,0.06692913385826771,0.4881889763779528,0.5118110236220472,0.29133858267716534,0.19291338582677164,0.09842519685039369,0.2559055118110236,0.23622047244094488,0.24803149606299213
5,sp|D0N6D2|SFI3_PHYIT,127,-0.3559055118110236,0.30708661417322836,0.5118110236220472,0.33858267716535434,0.08661417322834646,0.5118110236220472,0.4881889763779527,0.2440944881889764,0.14173228346456693,0.10236220472440945,0.2755905511811024,0.1732283464566929,0.3700787401574803
6,sp|D0NBE6|RD54_PHYIT,381,-0.4598425196850392,0.2650918635170604,0.49606299212598426,0.2782152230971129,0.11023622047244094,0.49606299212598426,0.5039370078740157,0.28608923884514437,0.15223097112860892,0.13385826771653542,0.29133858267716534,0.1784776902887139,0.30708661417322836
7,sp|D0NIN5|RD2_PHYIT,121,-0.1074380165289256,0.33884297520661155,0.5289256198347108,0.3884297520661157,0.06611570247933884,0.5289256198347108,0.47107438016528924,0.2644628099173554,0.15702479338842976,0.10743801652892562,0.2727272727272727,0.1322314049586777,0.3884297520661157
8,sp|D0NIW0|AVR10_PHYIT,135,-0.6525925925925926,0.33333333333333337,0.48148148148148145,0.26666666666666666,0.12592592592592594,0.48148148148148145,0.5185185185185185,0.3037037037037037,0.16296296296296298,0.14074074074074075,0.2518518518518519,0.2592592592592593,0.3037037037037037
9,sp|D0NVB5|AVR1_PHYIT,208,-0.18605769230769223,0.2644230769230769,0.5336538461538461,0.3076923076923077,0.10576923076923078,0.5336538461538461,0.46634615384615385,0.2932692307692308,0.16826923076923078,0.125,0.3221153846153846,0.1875,0.28846153846153844
