,id,gravy,tiny,small,aliphatic,aromatic,non_polar,polar,charged,basic,acidic,helix,turn,sheet
0,Minc3s00001g00059,-0.24117647058823574,0.36764705882352944,0.5176470588235295,0.2676470588235294,0.10882352941176471,0.5176470588235295,0.4823529411764706,0.23529411764705882,0.12058823529411765,0.11470588235294117,0.2647058823529411,0.23823529411764707,0.2323529411764706
1,Minc3s00002g00155,-1.1089108910891095,0.31683168316831684,0.3514851485148515,0.1782178217821782,0.06930693069306931,0.3514851485148515,0.6485148514851486,0.28712871287128716,0.18811881188118812,0.09900990099009901,0.18811881188118812,0.3069306930693069,0.17326732673267325
2,Minc3s00006g00398,-0.32427536231884097,0.2536231884057971,0.5253623188405797,0.23550724637681159,0.10507246376811595,0.5253623188405797,0.4746376811594203,0.2608695652173913,0.11594202898550725,0.14492753623188406,0.2971014492753623,0.23550724637681159,0.25
3,Minc3s00006g00399,-0.7688775510204066,0.29931972789115646,0.4523809523809524,0.22789115646258504,0.0901360544217687,0.4523809523809524,0.5476190476190477,0.2772108843537415,0.13945578231292516,0.13775510204081634,0.23299319727891157,0.3010204081632653,0.23469387755102042
4,Minc3s00006g00405,-0.5645061728395052,0.2515432098765432,0.4552469135802469,0.26929012345679015,0.09182098765432099,0.4552469135802469,0.5447530864197532,0.30169753086419754,0.1396604938271605,0.16203703703703703,0.2785493827160494,0.2067901234567901,0.2962962962962963
5,Minc3s00006g00420,-0.30264900662251654,0.2251655629139073,0.5033112582781457,0.2251655629139073,0.15231788079470202,0.5033112582781457,0.4966887417218543,0.31125827814569534,0.17218543046357618,0.1390728476821192,0.32450331125827814,0.2317880794701987,0.20529801324503313
6,Minc3s00009g00625,-0.715224913494809,0.24394463667820065,0.4498269896193771,0.27162629757785467,0.07958477508650519,0.4498269896193771,0.5501730103806228,0.3044982698961938,0.15397923875432526,0.15051903114186851,0.24740484429065743,0.21453287197231835,0.2802768166089965
7,Minc3s00009g00626,-0.8558394160583932,0.20437956204379562,0.4781021897810219,0.16058394160583941,0.08759124087591241,0.4781021897810219,0.5218978102189781,0.10218978102189781,0.06569343065693431,0.0364963503649635,0.1642335766423358,0.33576642335766427,0.22262773722627738
8,Minc3s00011g00723,-0.23138173302107773,0.21545667447306793,0.5058548009367682,0.30913348946135827,0.0936768149882904,0.5058548009367682,0.49414519906323184,0.2810304449648712,0.13114754098360656,0.14988290398126464,0.34192037470725994,0.22716627634660425,0.26932084309133486
9,Minc3s00014g00955,-0.23181403828623462,0.2743846855059252,0.536007292616226,0.317228805834093,0.11759343664539654,0.536007292616226,0.4639927073837739,0.23062898814949861,0.1276207839562443,0.10300820419325432,0.3053783044667274,0.21786690975387418,0.27438468550592526
10,Minc3s00015g01013,-0.006181818181818226,0.31636363636363635,0.5636363636363636,0.3563636363636364,0.06909090909090909,0.5636363636363636,0.43636363636363634,0.23636363636363636,0.1181818181818182,0.11818181818181817,0.2909090909090909,0.20363636363636364,0.31272727272727274
11,Minc3s00015g01017,-0.6547692307692323,0.32076923076923075,0.46,0.2353846153846154,0.08615384615384616,0.46,0.54,0.1930769230769231,0.1123076923076923,0.08076923076923076,0.24307692307692308,0.3346153846153846,0.20076923076923076
12,Minc3s00015g01030,-0.005343511450381555,0.22900763358778628,0.5419847328244275,0.35114503816793896,0.07633587786259542,0.5419847328244275,0.4580152671755725,0.2748091603053435,0.1450381679389313,0.1297709923664122,0.3282442748091603,0.1984732824427481,0.2595419847328244
13,Minc3s00016g01070,-0.398076923076923,0.21153846153846156,0.5288461538461539,0.3076923076923077,0.14423076923076925,0.5288461538461539,0.47115384615384615,0.3269230769230769,0.1826923076923077,0.14423076923076922,0.31730769230769235,0.17307692307692307,0.28846153846153844
14,Minc3s00019g01192,-0.2760000000000001,0.25666666666666665,0.5499999999999999,0.32,0.10333333333333333,0.5499999999999999,0.45000000000000007,0.2366666666666667,0.11000000000000001,0.12666666666666668,0.31666666666666665,0.21666666666666667,0.25666666666666665
15,Minc3s00019g01195,-0.6360995850622391,0.28077455048409405,0.44674965421853385,0.22544951590594742,0.09820193637621023,0.44674965421853385,0.553250345781466,0.289073305670816,0.15214384508990317,0.13692946058091285,0.2586445366528354,0.26556016597510373,0.22683264177040108
16,Minc3s00019g01236,-0.029310344827586158,0.32758620689655177,0.5655172413793105,0.3206896551724138,0.11724137931034483,0.5655172413793105,0.43448275862068964,0.2482758620689655,0.12413793103448276,0.12413793103448276,0.30689655172413793,0.2206896551724138,0.2689655172413793
17,Minc3s00019g01256,-0.40863060989643096,0.25431530494821636,0.4683544303797468,0.2761795166858458,0.11967779056386652,0.4683544303797468,0.5316455696202532,0.27848101265822783,0.1472957422324511,0.13118527042577674,0.31185270425776757,0.1956271576524741,0.26927502876869963
18,Minc3s00021g01323,-0.8274021352313168,0.30604982206405695,0.44128113879003555,0.18861209964412812,0.12099644128113879,0.44128113879003555,0.5587188612099644,0.199288256227758,0.1103202846975089,0.08896797153024912,0.25266903914590744,0.3629893238434163,0.16725978647686834
19,Minc3s00021g01335,-0.15168539325842695,0.31179775280898875,0.5505617977528089,0.3089887640449438,0.0898876404494382,0.5505617977528089,0.449438202247191,0.2640449438202247,0.14325842696629212,0.12078651685393257,0.28651685393258425,0.19382022471910113,0.300561797752809
20,Minc3s00022g01379,-0.21633986928104584,0.23529411764705885,0.5196078431372549,0.2777777777777778,0.12091503267973856,0.5196078431372549,0.4803921568627451,0.2581699346405229,0.14705882352941177,0.11111111111111112,0.34967320261437906,0.23202614379084968,0.2450980392156863
21,Minc3s00022g01387,0.048795180722891636,0.22289156626506024,0.5542168674698795,0.32530120481927716,0.10240963855421688,0.5542168674698795,0.4457831325301205,0.24096385542168675,0.12650602409638556,0.1144578313253012,0.37951807228915657,0.24698795180722893,0.2650602409638554
22,Minc3s00022g01388,-0.39818181818181797,0.16363636363636364,0.4909090909090909,0.23636363636363636,0.18181818181818182,0.4909090909090909,0.509090909090909,0.3090909090909091,0.21818181818181817,0.09090909090909091,0.39999999999999997,0.12727272727272726,0.2545454545454545
23,Minc3s00022g01415,-0.5440944881889763,0.2559055118110236,0.4763779527559055,0.24803149606299213,0.10826771653543307,0.4763779527559055,0.5236220472440944,0.28937007874015747,0.1515748031496063,0.1377952755905512,0.2795275590551181,0.21062992125984253,0.22834645669291337
24,Minc3s00023g01471,-0.3462686567164183,0.14925373134328357,0.5671641791044775,0.23880597014925373,0.2537313432835821,0.5671641791044775,0.4328358208955223,0.29850746268656714,0.208955223880597,0.08955223880597014,0.373134328358209,0.1044776119402985,0.23880597014925373
25,Minc3s00024g01586,-0.14836601307189554,0.26143790849673204,0.5686274509803921,0.3790849673202614,0.1111111111111111,0.5686274509803921,0.43137254901960786,0.3137254901960784,0.16339869281045752,0.15032679738562094,0.33333333333333337,0.13071895424836602,0.35294117647058826
26,Minc3s00028g01742,-0.04652173913043464,0.32173913043478264,0.5652173913043478,0.3347826086956522,0.09782608695652174,0.5652173913043478,0.43478260869565216,0.22391304347826088,0.13478260869565217,0.0891304347826087,0.3021739130434783,0.22391304347826085,0.27608695652173915
27,Minc3s00031g01891,-0.13690036900369004,0.27306273062730624,0.5424354243542435,0.2952029520295203,0.1033210332103321,0.5424354243542435,0.4575645756457565,0.25092250922509224,0.12915129151291513,0.12177121771217712,0.32472324723247237,0.2287822878228782,0.22140221402214022
28,Minc3s00032g01932,-0.316229116945108,0.27684964200477324,0.5107398568019094,0.2983293556085919,0.08591885441527446,0.5107398568019094,0.48926014319809075,0.27923627684964203,0.13365155131264916,0.14558472553699287,0.3031026252983294,0.21957040572792363,0.26968973747016706
29,Minc3s00032g01942,-0.5229906542056078,0.2822429906542056,0.4635514018691589,0.31588785046728973,0.06355140186915888,0.4635514018691589,0.5364485981308412,0.3420560747663552,0.18317757009345795,0.15887850467289721,0.2691588785046729,0.17009345794392522,0.33271028037383177
30,Minc3s00032g01948,-0.5152000000000003,0.284,0.464,0.314,0.060000000000000005,0.464,0.536,0.338,0.184,0.154,0.26799999999999996,0.178,0.328
31,Minc3s00034g02000,-0.32258064516129076,0.25089605734767023,0.5268817204301075,0.24014336917562726,0.10394265232974911,0.5268817204301075,0.47311827956989255,0.25806451612903225,0.11469534050179211,0.14336917562724016,0.29749103942652333,0.23655913978494622,0.25806451612903225
32,Minc3s00034g02026,-0.4469387755102039,0.2312925170068027,0.49659863945578225,0.29591836734693877,0.09863945578231292,0.49659863945578225,0.5034013605442177,0.3078231292517007,0.16496598639455784,0.14285714285714285,0.30272108843537415,0.19387755102040816,0.2755102040816327
33,Minc3s00036g02141,-0.47942857142857154,0.2,0.5828571428571429,0.2571428571428572,0.17142857142857143,0.5828571428571429,0.41714285714285715,0.29714285714285715,0.14857142857142858,0.14857142857142858,0.35428571428571426,0.22285714285714284,0.24571428571428572
34,Minc3s00037g02154,-0.508009153318078,0.2906178489702517,0.517162471395881,0.24942791762013727,0.13729977116704806,0.517162471395881,0.482837528604119,0.2951945080091533,0.18764302059496568,0.10755148741418764,0.2791762013729977,0.2288329519450801,0.2494279176201373
